,original_title,keywords_log_rr,med_keywords_log_rr,keywords_log_rr0,keywords_log_rr1,keywords_log_rr2,keywords_log_rr3,keywords_log_rr4,keywords_log_rr-1,genre_log_rr,med_genre_log_rr,genre_log_rr0,genre_log_rr1,genre_log_rr2,genre_log_rr-1,plotkw_log_rr,med_plotkw_log_rr,plotkw_log_rr0,plotkw_log_rr1,plotkw_log_rr2,plotkw_log_rr3,plotkw_log_rr4,plotkw_log_rr-1
1,10 Cloverfield Lane,"[6.219094733333334, 4.900293, 3.7639823999999997, 3.0916128125, 2.9207656212121216, 1.753380218181818, 1.659325, 1.322829275]",3.006189216856061,6.219094733333334,4.900293,3.7639823999999997,3.0916128125,2.9207656212121216,1.322829275,"[nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,"[2.2735975561207935, 1.976729561848776, 0.9362922561956143, 0.7799862788215584, 0.7456186474337982]",0.9362922561956143,2.2735975561207935,1.976729561848776,0.9362922561956143,0.7799862788215584,0.7456186474337982,0.7456186474337982
3,10 Things I Hate About You,"[9.15853524137931, 3.4441508285714284, 3.166910549019608, 2.342385375, 2.342385375, 2.342385375, 2.342385375, 2.342385375, 2.065289, 2.0272653660714286, 1.8018494147727273, 1.6279713472222221, 1.1667764875, 0.7307836419878296]",2.342385375,9.15853524137931,3.4441508285714284,3.166910549019608,2.342385375,2.342385375,0.7307836419878296,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,"[1.7548133593525599, 1.2235150441508185, 1.2066847362122188, 1.1805409859753746, 0.899114534535403]",1.2066847362122188,1.7548133593525599,1.2235150441508185,1.2066847362122188,1.1805409859753746,0.899114534535403,0.899114534535403
4,102 Dalmatians,"[2.475314083974359, 1.9342861274621213, 1.1877828936170214, 1.1601384823529413, 1.1601384823529413, 1.1601384823529413, 1.1601384823529413, 1.1234186697478992, 0.5114263011764706]",1.1601384823529413,2.475314083974359,1.9342861274621213,1.1877828936170214,1.1601384823529413,1.1601384823529413,0.5114263011764706,"[nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,"[0.7877128787611459, 0.77017233184141, 0.77017233184141, 0.77017233184141, -0.03585777626393222]",0.77017233184141,0.7877128787611459,0.77017233184141,0.77017233184141,0.77017233184141,-0.03585777626393222,-0.03585777626393222
8,12 Rounds,"[1.1814423333333333, 1.0224080416666668, 0.6623086678571429, -0.1359837, -0.1359837]",0.6623086678571429,1.1814423333333333,1.0224080416666668,0.6623086678571429,-0.1359837,-0.1359837,-0.1359837,"[nan, nan, nan, nan, nan]",,,,,,"[0.985906342752009, 0.5637101452700308, 0.14247761401090975, 0.11482390941417507, -0.14616364461529657]",0.14247761401090975,0.985906342752009,0.5637101452700308,0.14247761401090975,0.11482390941417507,-0.14616364461529657,-0.14616364461529657
9,12 Years a Slave,"[8.614289645833333, 8.35, 8.35, 8.35, 8.35, 8.35, 8.35, 3.25368238, 1.753380218181818, 1.6101000285714286, 0.10142998124999997, 0.03513281818181818]",8.35,8.614289645833333,8.35,8.35,8.35,8.35,0.03513281818181818,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,"[2.2691591628967482, 2.2353763433005955, 2.0741403361988464, 1.238314840063862, 1.0386530794538666]",2.0741403361988464,2.2691591628967482,2.2353763433005955,2.0741403361988464,1.238314840063862,1.0386530794538666,1.0386530794538666
10,127 Hours,"[6.005926941176471, 2.642860157142857, 2.265965967647059, 2.237252754545455, 1.618039998888889, 1.4941714700000002, 1.4063234649999998, 1.265069392430279, 1.2010376165217391, 1.1584330375806453, 0.98294, 0.98294, 0.98294, 0.98294, 0.98294, 0.98294, 0.9700806454545454, 0.7085695625, 0.58299721875, 0.48633681919642857]",1.0706865187903227,6.005926941176471,2.642860157142857,2.265965967647059,2.237252754545455,1.618039998888889,0.48633681919642857,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,"[1.0108031389970054, 0.6845805918938193, 0.6845805918938193, 0.6845805918938193, 0.6845805918938193]",0.6845805918938193,1.0108031389970054,0.6845805918938193,0.6845805918938193,0.6845805918938193,0.6845805918938193,0.6845805918938193
11,13 Going on 30,"[2.4232694417879417, 1.7863657164241165, 1.6069107297297298, 1.6069107297297298, 1.6069107297297298, 1.3486404870870872, 0.7536645087301588]",1.6069107297297298,2.4232694417879417,1.7863657164241165,1.6069107297297298,1.6069107297297298,1.6069107297297298,0.7536645087301588,"[nan, nan, nan, nan, nan, nan, nan]",,,,,,"[0.9581658918371625, 0.9581658918371625, 0.9581658918371625, 0.9581658918371625, 0.9581658918371625]",0.9581658918371625,0.9581658918371625,0.9581658918371625,0.9581658918371625,0.9581658918371625,0.9581658918371625,0.9581658918371625
12,1408,"[2.78718392, 2.66841441, 2.0685016136363634, 2.032743396226415, 1.9333119281818183, 1.90631566, 1.828392640909091, 1.7729610369230768, 1.5991228863636362, 1.3525936333333335, 1.25690748, 1.216583875, 1.03053893, 0.7536645087301588, 0.4388551692307692, 0.15613755280172414]",1.6860419616433564,2.78718392,2.66841441,2.0685016136363634,2.032743396226415,1.9333119281818183,0.15613755280172414,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,"[1.3316227138877068, 1.3316227138877068, 1.1090383648098059, 1.0151165873790795, 0.7729589419700066]",1.1090383648098059,1.3316227138877068,1.3316227138877068,1.1090383648098059,1.0151165873790795,0.7729589419700066,0.7729589419700066
13,15 Minutes,"[3.3153377535650623, 2.954617430769231, 2.8, 2.3675562309523808, 2.36, 1.9799046286764708, 1.9151895555555556, 1.887088148148148, 1.64360646, 1.618039998888889, 1.6178483333333333, 1.5895185, 1.5644941636363636, 1.52757196875, 1.524, 1.516352425925926, 1.3613050066666665, 1.322829275, 1.2934599634920636, 1.2185692753623187, 1.1969756451612903, 1.1877828936170214, 1.1634721083333333, 1.1541442285714285, 1.03053893, 1.0224080416666668, 0.980362475, 0.9035209478991597, 0.89672084, 0.7936739444444444, 0.7536645087301588, 0.7374293529411765, 0.7374293529411765, 0.67634175, 0.4765771714285714, 0.44227020147058826, 0.3820014, 0.3820014, 0.0341665, -0.017530166666666666, -0.060667, -0.060667, -0.43613653750000003]",1.1877828936170214,3.3153377535650623,2.954617430769231,2.8,2.3675562309523808,2.36,-0.43613653750000003,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,"[0.8837307646537126, 0.7401788853307972, 0.5637101452700308, 0.554278103924453, -0.06258523005328819]",0.5637101452700308,0.8837307646537126,0.7401788853307972,0.5637101452700308,0.554278103924453,-0.06258523005328819,-0.06258523005328819
14,16 Blocks,"[1.581124759090909, 0.8231098461538462, 0.19390401818181818, -0.2675216751196172]",0.5085069321678322,1.581124759090909,0.8231098461538462,0.19390401818181818,-0.2675216751196172,0.0,-0.2675216751196172,"[nan, nan, nan, nan]",,,,,,"[0.7804721542063364, 0.6873086758680175, 0.5637101452700308, 0.5060384441412302, 0.38549988138651803]",0.5637101452700308,0.7804721542063364,0.6873086758680175,0.5637101452700308,0.5060384441412302,0.38549988138651803,0.38549988138651803
16,17 Again,"[5.8133738, 4.526500976923077, 3.253915875, 2.0272653660714286, 1.855896296969697, 0.6974683833333333]",2.6405906205357144,5.8133738,4.526500976923077,3.253915875,2.0272653660714286,1.855896296969697,0.6974683833333333,"[nan, nan, nan, nan, nan, nan]",,,,,,"[1.9188874159843943, 1.9188874159843943, 1.2235150441508185, 0.9261078304436033, 0.1260006803569113]",1.2235150441508185,1.9188874159843943,1.9188874159843943,1.2235150441508185,0.9261078304436033,0.1260006803569113,0.1260006803569113
18,1941,"[22.843868285714287, 4.64, 4.64, 1.4106624524475526, 1.3074603013071895, 1.1840797840921833, 1.1252125916666667, 1.0442679239130435]",1.3590613768773712,22.843868285714287,4.64,4.64,1.4106624524475526,1.3074603013071895,1.0442679239130435,"[nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,"[1.7298840655099674, 1.0216512475319812, 1.0122837426111995, 0.8688551574336568, 0.025330681049905622]",1.0122837426111995,1.7298840655099674,1.0216512475319812,1.0122837426111995,0.8688551574336568,0.025330681049905622,0.025330681049905622
