,original_title,budget,genres,id,keywords,original_language,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,tagline,title,vote_average,vote_count,color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,actor_1_name,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,profit,ret_rate,rev_rate,log_rev_rate,log_budget,log_revenue,Profitable,all_keywords,lang_en
1,10 Cloverfield Lane,15000000,"['Thriller', 'Science Fiction', 'Drama']",333371,"['kidnapping', 'bunker', 'paranoia', 'basement', 'survivalist', 'apocalypse', 'car accident', 'captive']",en,"After a car accident, Michelle awakens to find herself in a mysterious bunker with two men named Howard and Emmett. Howard offers her a pair of crutches to help her remain mobile with her leg injury sustained from the car crash and tells her to ""get good on those"" before leaving the bunker. She has been given the information that there has been an alien attack and the outside world is poisoned. However, Howard and Emmett's intentions soon become questionable and Michelle is faced with a question: Is it better in here or out there?",53.698682999999996,"['Paramount Pictures', 'Bad Robot', 'Spectrum Effects']",['United States of America'],2016-03-10,108286421,103.0,['English'],Monsters come in many forms.,10 Cloverfield Lane,6.8,2468,Color,Dan Trachtenberg,411.0,104.0,16.0,82.0,John Gallagher Jr.,14000.0,Bradley Cooper,126893,14504,Sumalee Montano,0.0,"['alien', 'bunker', 'car crash', 'kidnapping', 'minimal cast']",http://www.imdb.com/title/tt1179933/?ref_=fn_tt_tt_1,440.0,English,USA,PG-13,2016.0,338.0,7.3,2.35,33000,93286421,6.219094733333334,7.219094733333334,1.976729561848776,16.523560759066484,18.50029032091526,True,"['kidnapping', 'survivalist', 'car crash', 'minimal cast', 'paranoia', 'alien', 'captive', 'car accident', 'basement', 'bunker', 'apocalypse']",True
3,10 Things I Hate About You,16000000,"['Comedy', 'Romance', 'Drama']",4951,"['shakespeare', 'sister', 'high school', 'cannabis', 'deception', 'teen movie', 'shrew', 'archery', 'feel-good ending', 'opposites attract', 'duringcreditsstinger', 'teenage romance', 'play adaptation', 'overprotective father']",en,"Bianca, a tenth grader, has never gone on a date, but she isn't allowed to go out with boys until her older sister Kat gets a boyfriend. The problem is, Kat rubs nearly everyone the wrong way. But Bianca and the guy she has her eye on, Joey, are eager, so Joey fixes Kat up with Patrick, a new kid in town just bitter enough for Kat.",54.550275,"['Mad Chance', 'Jaret Entertainment', 'Touchstone Pictures']",['United States of America'],1999-03-30,53478166,97.0,"['English', 'Fran\\u00e7ais']",How do I loathe thee? Let me count the ways.,10 Things I Hate About You,7.3,1701,Color,Gil Junger,133.0,97.0,19.0,835.0,Heath Ledger,23000.0,Joseph Gordon-Levitt,222099,37907,Andrew Keegan,6.0,"['dating', 'protective father', 'school', 'shrew', 'teen movie']",http://www.imdb.com/title/tt0147800/?ref_=fn_tt_tt_1,549.0,English,USA,PG-13,1999.0,13000.0,7.2,1.85,10000,37478166,2.342385375,3.342385375,1.2066847362122188,16.588099280204055,17.794784016416273,True,"['shrew', 'archery', 'school', 'deception', 'teenage romance', 'teen movie', 'protective father', 'sister', 'duringcreditsstinger', 'opposites attract', 'cannabis', 'overprotective father', 'high school', 'shakespeare', 'dating', 'play adaptation', 'feel-good ending']",True
4,102 Dalmatians,85000000,"['Comedy', 'Family']",10481,"['london england', 'prison', 'release from prison', ""women's prison"", 'society for the prevention of cruelty to animals', 'puppy', 'pelz', 'dog', 'dalmatian']",en,"Get ready for a howling good time as an all new assortment of irresistible animal heroes are unleashed in this great family tail! In an unlikely alliance, the outrageous Waddlesworth... a parrot who thinks he's a Rottweiler... teams up with Oddball... an un-marked Dalmation puppy eager to earn her spots! Together they embark on a laugh-packed quest to outwit the ever-scheming Cruella De Vil",9.895061,"['Walt Disney Pictures', 'Cruella Productions']",['United States of America'],2000-10-07,183611771,100.0,['English'],Meet Two Unlikely Heroes With A Bone To Pick.,102 Dalmatians,5.1,313,Color,Kevin Lima,84.0,100.0,36.0,439.0,Eric Idle,2000.0,Ioan Gruffudd,26413,4182,Jim Carter,1.0,"['dog', 'parole', 'parole officer', 'prison', 'puppy']",http://www.imdb.com/title/tt0211181/?ref_=fn_tt_tt_1,77.0,English,USA,G,2000.0,795.0,4.8,1.85,372,98611771,1.1601384823529413,2.160138482352941,0.77017233184141,18.258161814454592,19.028334146296,True,"['pelz', 'puppy', 'london england', ""women's prison"", 'dog', 'parole officer', 'release from prison', 'prison', 'parole', 'dalmatian', 'society for the prevention of cruelty to animals']",True
5,10th & Wolf,8000000,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",13197,"['undercover', 'mafia', 'mobster', 'crime family']",en,"A former street tough returns to his Philadelphia home after a stint in the military. Back on his home turf, he once again finds himself tangling with the mob boss who was instrumental in his going off to be a soldier.",3.9424639999999997,['Thinkfilm'],['United States of America'],2006-02-19,143451,107.0,['English'],"The Intersection Where Family, Honor and Betrayal Collide.",10th & Wolf,6.3,24,Color,Robert Moresco,26.0,107.0,53.0,463.0,Brad Renfro,954.0,Brian Dennehy,5557,2512,Dash Mihok,5.0,"['desert storm', 'fbi', 'fbi agent', 'fragmentation grenade', 'woman kills attacker']",http://www.imdb.com/title/tt0360323/?ref_=fn_tt_tt_1,34.0,English,USA,R,2006.0,551.0,6.4,2.35,294,-7856549,-0.982068625,0.017931375,-4.021203307188838,15.89495209964411,11.873748792455272,False,"['desert storm', 'crime family', 'fbi agent', 'fragmentation grenade', 'mobster', 'woman kills attacker', 'fbi', 'mafia', 'undercover']",True
8,12 Rounds,20000000,"['Action', 'Adventure', 'Drama', 'Thriller']",17134,"['police', 'cops', 'cat and mouse', 'family', 'revenge drama']",en,"When New Orleans cop Danny Fisher prevents a brilliant thief from successfully carrying out his latest heist, the thief's girlfriend is accidentally killed. Hungry for revenge, the criminal mastermind breaks out of prison and kidnaps Danny's fiancee. To save her, Danny must successfully navigate his way through an elaborate series of tasks and puzzles, or else watch the love of his life die.",15.66135,"['The Mark Gordon Company', 'Fox Atomic', '20th Century Fox Home Entertainment', 'WWE Studios', 'Midnight Sun Pictures']",['United States of America'],2009-03-19,17280326,108.0,"['\\u010cesk\\u00fd', 'English']",Survive all 12,12 Rounds,5.7,220,Color,Renny Harlin,113.0,108.0,212.0,347.0,Ashley Scott,969.0,Taylor Cole,22823,2799,Nick Gomez,1.0,"['2000s', 'detective', 'sadist', 'terrorism', 'terrorist']",http://www.imdb.com/title/tt1160368/?ref_=fn_tt_tt_1,113.0,English,USA,PG-13,2009.0,794.0,5.6,2.35,0,-2719674,-0.1359837,0.8640163,-0.14616364461529657,16.811242831518264,16.665079186902968,False,"['detective', 'terrorist', 'police', 'family', 'sadist', 'cops', '2000s', 'terrorism', 'cat and mouse', 'revenge drama']",True
9,12 Years a Slave,20000000,"['Drama', 'History']",76203,"['whip', 'kidnapping', 'slavery', 'plantation', 'night shift', 'violin player', 'physical abuse', 'cotton', 'slave owner', '19th century', 'sold into slavery', 'abolitionist']",en,"In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon’s chance meeting with a Canadian abolitionist will forever alter his life.",95.9229,"['Plan B Entertainment', 'Regency Enterprises', 'River Road Entertainment', 'Film4', 'New Regency Pictures']","['United States of America', 'United Kingdom']",2013-10-18,187000000,134.0,['English'],The extraordinary true story of Solomon Northup,12 Years a Slave,7.9,3674,Color,Steve McQueen,597.0,134.0,0.0,500.0,Scoot McNairy,2000.0,Quvenzhané Wallis,439176,4251,Taran Killam,0.0,"['racism', 'separation from family', 'social injustice', 'torture', 'whipping']",http://www.imdb.com/title/tt2024544/?ref_=fn_tt_tt_1,695.0,English,USA,R,2013.0,660.0,8.1,2.35,83000,167000000,8.35,9.35,2.2353763433005955,16.811242831518264,19.04661917481886,True,"['kidnapping', 'cotton', 'torture', 'abolitionist', 'separation from family', 'slave owner', 'racism', 'social injustice', 'plantation', '19th century', 'night shift', 'physical abuse', 'violin player', 'sold into slavery', 'whipping', 'whip', 'slavery']",True
10,127 Hours,18000000,"['Adventure', 'Drama', 'Thriller']",44115,"['mountains', 'despair', 'adventure', 'utah', 'alone', 'canyon', 'climbing', 'based on true story', 'rescue', 'survival', 'escape', 'true', 'trapped', 'boulder', 'adventurer', 'flashback', 'climber', 'isolated', 'hikers', 'very little dialogue']",en,The true story of mountain climber Aron Ralston's remarkable adventure to save himself after a fallen boulder crashes on his arm and traps him in an isolated canyon in Utah.,52.464877,"['Fox Searchlight Pictures', 'Warner Bros.', 'Cloud Eight Films', 'Path\\u00e9', 'Film4', 'Everest Entertainment', 'HandMade Films']","['United Kingdom', 'United States of America']",2010-11-05,35692920,94.0,['English'],There is no force more powerful than the will to live.,127 Hours,7.0,2606,Color,Danny Boyle,450.0,94.0,0.0,223.0,Treat Williams,11000.0,James Franco,279179,11984,Kate Burton,0.0,"['alone', 'aron ralston', 'based on autobiography', 'canyon', 'survival']",http://www.imdb.com/title/tt1542344/?ref_=fn_tt_tt_1,440.0,English,USA,R,2010.0,642.0,7.6,1.85,63000,17692920,0.98294,1.98294,0.6845805918938193,16.70588231586044,17.39046290775426,True,"['canyon', 'escape', 'flashback', 'aron ralston', 'isolated', 'based on true story', 'boulder', 'mountains', 'rescue', 'based on autobiography', 'trapped', 'survival', 'utah', 'very little dialogue', 'adventure', 'alone', 'climbing', 'true', 'hikers', 'adventurer', 'despair', 'climber']",True
11,13 Going on 30,37000000,"['Comedy', 'Fantasy', 'Romance']",10096,"['new york', 'photographer', 'editor-in-chief', 'wish', 'michael jackson', 'child as an adult', 'best friends in love']",en,"After total humiliation at her thirteenth birthday party, Jenna Rink wants to just hide until she's thirty. With a little magic, her wish is granted, but it turns out that being thirty isn't as always as awesome as she thought it would be!",41.569541,"['Columbia Pictures', 'Revolution Studios', 'Thirteen Productions']",['United States of America'],2004-04-13,96455697,98.0,"['English', 'Fran\\u00e7ais', 'Portugu\\u00eas']","For some, 13 feels like it was just yesterday. For Jenna, it was.",13 Going on 30,6.3,1204,Color,Gary Winick,119.0,98.0,56.0,533.0,Judy Greer,3000.0,Jennifer Garner,122187,6742,Christa B. Allen,1.0,"['13 year old', '13th birthday', '30 year old', 'wish', 'year 1987']",http://www.imdb.com/title/tt0337563/?ref_=fn_tt_tt_1,339.0,English,USA,PG-13,2004.0,2000.0,6.1,1.85,0,59455697,1.6069107297297298,2.6069107297297296,0.9581658918371625,17.4264284706085,18.38459436244566,True,"['photographer', 'editor-in-chief', 'year 1987', '13 year old', 'new york', 'wish', '13th birthday', '30 year old', 'best friends in love', 'child as an adult', 'michael jackson']",True
12,1408,25000000,"['Horror', 'Thriller']",3021,"['suicide', 'new york', 'hotel', 'fire', 'hotel room', 'wife husband relationship', 'suicide attempt', 'window', 'door', 'haunted house', 'research', 'ghost world', 'painting', 'telephone', 'loss of daughter', 'blood']",en,"A man who specializes in debunking paranormal occurrences checks into the fabled room 1408 in the Dolphin Hotel. Soon after settling in, he confronts genuine terror.",35.169779,"['The Weinstein Company', 'Di Bonaventura Pictures', 'Dimension Films']",['United States of America'],2007-07-12,94679598,104.0,['English'],The only demons in room 1408 are those within you.,1408,6.5,1343,Color,Mikael Håfström,314.0,114.0,101.0,23.0,Kim Thomson,129.0,Drew Powell,209396,214,Alexandra Silber,0.0,"['book', 'debunking', 'evil', 'hotel', 'paranormal phenomena']",http://www.imdb.com/title/tt0450385/?ref_=fn_tt_tt_1,580.0,English,USA,PG-13,2007.0,25.0,6.8,2.35,11000,69679598,2.78718392,3.78718392,1.3316227138877068,17.034386382832476,18.36600909672018,True,"['suicide attempt', 'ghost world', 'suicide', 'door', 'paranormal phenomena', 'fire', 'loss of daughter', 'hotel', 'hotel room', 'evil', 'research', 'debunking', 'wife husband relationship', 'window', 'book', 'blood', 'telephone', 'new york', 'haunted house', 'painting']",True
13,15 Minutes,60000000,"['Action', 'Crime', 'Thriller']",2749,"['new york', 'female nudity', 'prison', 'prostitute', 'rape', 'robbery', 'fire', 'detective', 'airport', 'shotgun', 'prisoner', 'ex-detainee', 'attempted murder', 'paranoia', 'russian', 'eastern europe', 'video', 'knife', 'fistfight', 'police', 'thief', 'revenge', 'video camera', 'escape', 'breast', 'dead body', 'lawyer', 'shot to death', 'torture', 'fear', 'new york city', 'urination', 'violence', 'home invasion', 'criminal', 'police detective', 'death', 'drunk', 'nypd', 'news report', 'gun violence', 'graveyard', 'death of boyfriend']",en,"When Eastern European criminals Oleg and Emil come to New York City to pick up their share of a heist score, Oleg steals a video camera and starts filming their activities, both legal and illegal. When they learn how the American media circus can make a remorseless killer look like the victim and make them rich, they target media-savvy NYPD Homicide Detective Eddie Flemming and media-naive FDNY Fire Marshal Jordy Warsaw, the cops investigating their murder and torching of their former criminal partner, filming everything to sell to the local tabloid TV show ""Top Story.""",15.205371,"['New Line Cinema', 'Industry Entertainment', 'Tribeca Productions', 'New Redemption Pictures']","['Germany', 'United States of America']",2001-03-01,56359980,120.0,"['\\u010cesk\\u00fd', 'English', '\\u03b5\\u03bb\\u03bb\\u03b7\\u03bd\\u03b9\\u03ba\\u03ac', 'P\\u0443\\u0441\\u0441\\u043a\\u0438\\u0439']",America Likes to Watch,15 Minutes,5.7,191,Color,John Herzfeld,151.0,120.0,17.0,808.0,Charlize Theron,22000.0,Robert De Niro,42547,33585,Kelsey Grammer,1.0,"['criminal', 'detective', 'fire', 'homicide', 'media']",http://www.imdb.com/title/tt0179626/?ref_=fn_tt_tt_1,265.0,English,USA,R,2001.0,9000.0,6.1,2.35,748,-3640020,-0.060667,0.939333,-0.06258523005328819,17.909855120186375,17.847269890133088,False,"['detective', 'dead body', 'drunk', 'thief', 'prisoner', 'police detective', 'video', 'lawyer', 'escape', 'shot to death', 'fear', 'rape', 'homicide', 'gun violence', 'death', 'police', 'graveyard', 'eastern europe', 'media', 'ex-detainee', 'paranoia', 'female nudity', 'new york', 'attempted murder', 'prison', 'urination', 'criminal', 'knife', 'torture', 'fire', 'new york city', 'revenge', 'breast', 'russian', 'video camera', 'nypd', 'news report', 'death of boyfriend', 'prostitute', 'home invasion', 'shotgun', 'violence', 'airport', 'robbery', 'fistfight']",True
